K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
300,150,184,176,170,,648,Beaver Gray Light,#BCB4AC,188,180,172,6.0
300,151,250,140,47,,741,Tangerine Medium,#FFA32B,255,163,43,23.874672772626646
300,152,20,35,49,,939,Navy Blue Very Dark,#1B2853,27,40,83,35.07135583350036
300,153,95,129,121,,3768,Gray Green Dark,#657F7F,101,127,127,8.717797887081348
300,154,241,104,17,,946,Burnt Orange Medium,#EB6307,235,99,7,12.68857754044952
300,155,66,103,125,,824,Blue Very Dark,#396987,57,105,135,13.601470508735444
300,156,140,122,78,,830,Golden Olive Dark,#8D784B,141,120,75,3.7416573867739413
300,157,41,33,31,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,21.494185260204677
300,158,232,229,226,,01,White Tin,#E3E3E6,227,227,230,6.708203932499369
300,159,225,153,84,,977,Golden Brown Light,#DC9C56,220,156,86,6.164414002968976
300,160,85,98,96,,924,Gray Green Vy Dark,#566A6A,86,106,106,12.84523257866513
300,161,89,70,55,,838,Beige Brown Very Dark,#594937,89,73,55,3.0
300,162,217,178,159,,3046,Yellow Beige Medium,#D8BC9A,216,188,154,11.224972160321824
300,163,199,95,28,,921,Copper,#C66218,198,98,24,5.0990195135927845
300,164,27,39,50,,939,Navy Blue Very Dark,#1B2853,27,40,83,33.015148038438355
300,165,113,124,106,,317,Pewter Gray,#6C6C6C,108,108,108,16.881943016134134
300,166,98,104,97,,535,Ash Gray Very Light,#636458,99,100,88,9.899494936611665
300,167,40,88,110,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,14.594519519326424
300,168,145,95,59,,434,Brown Light,#985E33,152,94,51,10.677078252031311
300,169,27,22,17,,3371,Black Brown,#1E1108,30,17,8,10.723805294763608
300,170,79,120,120,,991,Aquamarine Dark,#477B6E,71,123,110,13.152946437965905
300,171,172,136,117,,3861,Cocoa Light,#A68881,166,136,129,13.416407864998739
300,172,171,187,195,,932,Antique Blue Light,#A2B5C6,162,181,198,11.224972160321824
300,173,205,119,53,,3776,Mahogany Light,#CF7939,207,121,57,4.898979485566356
300,174,167,70,19,,919,Red Copper,#A64510,166,69,16,3.3166247903554
300,175,240,147,60,,3853,Autumn Gold Dark,#F29746,242,151,70,10.954451150103322
300,176,250,152,55,,3853,Autumn Gold Dark,#F29746,242,151,70,17.029386365926403
300,177,10,25,42,,3371,Black Brown,#1E1108,30,17,8,40.24922359499622
300,178,101,65,41,,801,Coffee Brown Dark,#653919,101,57,25,17.88854381999832
300,179,96,127,144,,3838,Lavender Blue Dark,#5C7294,92,114,148,14.177446878757825
300,180,167,162,106,,3012,Khaki Green Medium,#A6A75D,166,167,93,13.96424004376894
300,181,155,98,56,,434,Brown Light,#985E33,152,94,51,7.0710678118654755
300,182,3,4,7,,310,Black,#000000,0,0,0,8.602325267042627
300,183,190,204,209,,927,Gray Green Light,#BDCBCB,189,203,203,6.164414002968976
300,184,72,74,75,,844,Beaver Gray Ultra Dark,#484848,72,72,72,3.605551275463989
300,185,221,193,172,,613,Drab Brown Very Light,#DCC4AA,220,196,170,3.7416573867739413
300,186,57,70,75,,3799,Pewter Gray Very Dark,#424242,66,66,66,13.341664064126334
300,187,59,58,57,,3799,Pewter Gray Very Dark,#424242,66,66,66,13.92838827718412
300,188,203,141,67,,436,Tan,#CB9051,203,144,81,14.317821063276353
300,189,173,151,113,,642,Beige Gray Dark,#A49878,164,152,120,11.445523142259598
300,190,165,110,66,,420,Hazelnut Brown Dark,#A07042,160,112,66,5.385164807134504
300,191,252,217,112,,743,Yellow Medium,#FED376,254,211,118,8.717797887081348
300,192,174,165,139,,3032,Mocha Brown Medium,#B39F8B,179,159,139,7.810249675906654
300,193,11,39,62,,939,Navy Blue Very Dark,#1B2853,27,40,83,26.419689627245813
300,194,218,147,73,,977,Golden Brown Light,#DC9C56,220,156,86,15.937377450509228
300,195,156,120,79,,611,Drab Brown,#967656,150,118,86,9.433981132056603
300,196,53,93,106,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,13.45362404707371
300,197,235,131,46,,922,Copper Light,#E27323,226,115,35,21.400934559032695
300,198,173,140,76,,831,Golden Olive Medium,#AA8F56,170,143,86,10.862780491200215
300,199,153,82,40,,434,Brown Light,#985E33,152,94,51,16.30950643030009
300,200,127,112,88,,3790,Beige Gray Ultra Dark,#7F6A55,127,106,85,6.708203932499369
300,201,89,84,73,,309,Rose Dark,#BA4A4A,86,74,74,10.488088481701515
